
--------------------------------------------------------------------------------
    MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------


--------------------------------------------------------------------------------
    MAR SECURITY - TESTING APPLICATION: mugtracker2D_v2
--------------------------------------------------------------------------------

Application output directory created at: output/mugtracker2D_v2
Output will be written to file: sanityCheck2D.2019-11-11.194652.csv

Running test script with params: 
	 Application package name: 		 edu.temple.attack_prototypes.vuforia.v2_2d
	 Application local name: 		 mugtracker2D_v2
	 Run time (min): 			 10
	 Data collection interval (seconds): 	 5
	 Total number of trials: 		 120
	 Reading from image directory: 		 /Users/slehr/Projects/MAR_Security/scripts/imgs
	 Reading from image file list: 		 sanityCheck2D

  bash arg: -p
  bash arg: edu.temple.attack_prototypes.vuforia.v2_2d
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=63ms (0ms mobile, 0ms wifi, 63ms not connected)

--------------------------------------------------------------------------------

App PID: 9458
Trial start time (ms): 1573519612380

TRIAL,ELAPSED_TIME_MS,IMG_FILE,CPU_PERC,MEM_PERC,EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB,TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB,FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,11992,blank.png,73.3,5.6,54725904,50592680,4133224,8,760,3667952,117812,1422632,1077952832,628,92,1,1,10,79,13686,52304
2,2725,blank.png,60.0,5.7,54725904,50592680,4133224,8,760,3667952,133932,1439640,1077952832,771,116,1,1,10,79,13686,52902
3,2713,blank.png,66.6,5.7,54725904,50592680,4133224,8,760,3667952,133332,1440980,1077952832,923,138,1,1,10,79,13686,52810
4,2746,blank.png,70.9,5.7,54725904,50592680,4133224,8,760,3667952,133308,1440964,1077952832,1093,164,1,1,10,79,13686,52765
5,2773,blank.png,67.7,5.7,54725904,50592680,4133224,8,760,3667952,128492,1439828,1077952832,1263,191,1,1,10,79,13686,53520
6,2754,blank.png,70.0,5.8,54725904,50592680,4133224,8,760,3667952,121944,1433608,1077952832,1431,218,1,1,10,79,13686,53574
7,2741,blank.png,100,5.8,54725904,50592676,4133228,8,760,3667952,123284,1434960,1077952832,1609,245,1,1,10,79,13686,53458
8,2748,blank.png,64.5,5.7,54725904,50592676,4133228,8,760,3667952,126036,1439104,1077952832,1781,267,1,1,10,79,13686,54068
9,2731,blank.png,66.6,5.9,54725904,50592656,4133248,8,760,3667952,124340,1440428,1077952832,1930,296,1,1,10,75,13686,54750
10,2730,blank.png,63.3,5.9,54725904,50592652,4133252,8,760,3667952,121104,1437220,1077952832,2092,323,1,1,10,75,13686,54817
11,2742,blank.png,70.9,5.9,54725904,50592652,4133252,8,760,3667952,122328,1438444,1077952832,2261,347,1,1,10,75,13686,54877
12,2716,blank.png,66.6,5.9,54725904,50592652,4133252,8,760,3667952,121068,1437192,1077952832,2433,365,1,1,10,75,13686,54773
13,2725,blank.png,56.6,5.9,54725904,50592652,4133252,8,760,3667952,126620,1444108,1077952832,2586,392,1,1,10,75,13686,55020
