
--------------------------------------------------------------------------------
    MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------


--------------------------------------------------------------------------------
    MAR SECURITY - TESTING APPLICATION: mugtracker3D_v1
--------------------------------------------------------------------------------

Application output directory created at: output/mugtracker3D_v1
Output will be written to file: sanityCheck3D.2019-11-11.203057.csv

Running test script with params: 
	 Application package name: 		 edu.temple.attack_prototypes.vuforia.v1_3d
	 Application local name: 		 mugtracker3D_v1
	 Run time (min): 			 10
	 Data collection interval (seconds): 	 5
	 Total number of trials: 		 120
	 Reading from image directory: 		 /Users/slehr/Projects/MAR_Security/scripts/imgs
	 Reading from image file list: 		 sanityCheck3D

  bash arg: -p
  bash arg: edu.temple.attack_prototypes.vuforia.v1_3d
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=36ms (0ms mobile, 0ms wifi, 36ms not connected)

--------------------------------------------------------------------------------

App PID: 9401
Trial start time (ms): 1573522257379

TRIAL,ELAPSED_TIME_MS,IMG_FILE,CPU_PERC,MEM_PERC,EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB,TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB,FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,11860,blank.png,117,6.7,54725904,50591524,4134380,8,1392,3667952,108568,1438740,1077952832,1032,98,0,1,10,80,11215,61446
2,2705,blank.png,116,6.9,54725904,50591524,4134380,8,1392,3667952,107424,1437800,1077952832,1333,115,0,1,10,80,11215,64117
3,2757,blank.png,90.0,7.0,54725904,50591524,4134380,8,1392,3667952,106980,1437584,1077952832,1607,140,0,1,10,80,11215,64345
4,2739,blank.png,96.6,7.0,54725904,50591524,4134380,8,1392,3667952,111588,1441828,1077952832,1848,161,0,1,10,80,11215,64018
5,2721,blank.png,100,6.9,54725904,50591420,4134484,8,1496,3667952,109340,1439684,1077952832,2101,188,0,1,10,80,11215,63795
6,2716,blank.png,90.3,6.9,54725904,50591416,4134488,8,1496,3667952,126336,1456728,1077952832,2343,211,0,1,10,80,11215,63842
7,2692,blank.png,80.0,6.9,54725904,50591416,4134488,8,1496,3667952,123780,1454176,1077952832,2565,244,0,1,10,80,11215,64143
8,2697,blank.png,82.7,6.9,54725904,50591412,4134492,8,1496,3667952,123112,1453520,1077952832,2811,262,0,1,10,80,11215,64043
9,2692,blank.png,96.5,7.0,54725904,50591308,4134596,8,1600,3667952,137852,1468468,1077952832,3077,282,0,1,10,76,11215,64890
10,2707,blank.png,96.6,7.0,54725904,50591308,4134596,8,1600,3667952,137620,1468244,1077952832,3332,302,0,1,10,76,11215,64736
11,2743,blank.png,90.3,7.0,54725904,50591308,4134596,8,1600,3667952,137840,1468464,1077952832,3596,323,0,1,10,76,11215,64716
12,2721,blank.png,100,7.0,54725904,50591200,4134704,8,1704,3667952,134860,1465740,1077952832,3838,343,0,1,10,76,11215,66867
13,2696,blank.png,86.6,7.2,54725904,50591200,4134704,8,1704,3667952,133660,1464652,1077952832,4075,360,0,1,10,76,11215,66789
14,2701,blank.png,90.0,7.2,54725904,50591192,4134712,8,1704,3667952,116340,1450724,1077952832,4302,382,0,1,10,76,11215,66923
15,2697,blank.png,93.1,7.4,54725904,50591192,4134712,8,1704,3667952,116164,1450548,1077952832,4533,407,0,1,10,76,11215,68308
16,2734,blank.png,90.0,7.4,54725904,50591084,4134820,8,1808,3667952,116244,1450744,1077952832,4778,435,0,1,10,76,11215,68117
17,2733,blank.png,93.3,7.2,54725904,50591084,4134820,8,1808,3667952,127452,1463576,1077952832,5014,461,0,1,10,76,11215,64326
18,2756,blank.png,90.0,6.9,54725904,50591080,4134824,8,1808,3667952,122792,1461184,1077952832,5232,484,0,1,10,76,11215,63612
19,2761,blank.png,96.6,6.9,54725904,50591080,4134824,8,1808,3667952,122324,1460732,1077952832,5486,512,0,1,10,76,11215,63959
20,2761,blank.png,80.0,6.9,54725904,50590976,4134928,8,1912,3667952,120104,1458724,1077952832,5728,552,0,1,10,76,11215,63835
21,2760,blank.png,90.3,6.9,54725904,50590972,4134932,8,1912,3667952,117728,1456784,1077952832,5970,571,0,1,10,76,11215,63778
22,2745,blank.png,89.6,6.9,54725904,50591712,4134192,8,1912,3667952,121496,1462128,1077952832,6204,602,0,1,10,76,11215,63697
23,2768,blank.png,83.3,6.9,54725904,50591712,4134192,8,1912,3667952,121544,1462180,1077952832,6449,633,0,1,10,76,11215,63751
24,2742,blank.png,96.5,6.9,54725904,50591608,4134296,8,2016,3667952,125928,1466668,1077952832,6681,652,0,1,10,76,11215,63651
25,2749,blank.png,93.1,6.9,54725904,50591596,4134308,8,2016,3667952,125288,1466044,1077952832,6923,670,0,1,10,76,11215,63470
26,2740,blank.png,76.6,6.9,54725904,50591596,4134308,8,2016,3667952,130164,1470928,1077952832,7157,701,0,1,10,76,11215,63417
27,2762,blank.png,86.6,7.1,54725904,50591492,4134412,8,2120,3667952,126888,1467508,1077952832,7398,728,0,1,10,76,11215,65708
28,2764,blank.png,80.0,7.0,54725904,50591492,4134412,8,2120,3667952,126172,1467040,1077952832,7625,750,0,1,10,76,11215,64506
29,2735,blank.png,90.0,7.0,54725904,50591492,4134412,8,2120,3667952,125132,1466020,1077952832,7859,774,0,1,10,76,11215,64835
30,2762,blank.png,93.3,7.0,54725904,50591492,4134412,8,2120,3667952,124108,1465000,1077952832,8100,806,0,1,10,76,11215,64859
31,2802,shutterfly.jpg,83.8,7.0,54725904,50591388,4134516,8,2224,3667952,119392,1460388,1077952832,8355,826,0,1,10,78,11215,65470
32,2765,shutterfly.jpg,82.7,7.3,54725904,50591376,4134528,8,2224,3667952,112056,1453524,1077952832,8573,849,0,1,10,76,11215,68166
33,2756,shutterfly.jpg,74.1,7.4,54725904,50591376,4134528,8,2224,3667952,111380,1452864,1077952832,8785,873,0,1,10,76,11215,68097
34,2755,shutterfly.jpg,89.6,7.4,54725904,50591376,4134528,8,2368,3667952,110204,1451688,1077952832,8994,911,0,1,10,76,11215,68131
35,2748,shutterfly.jpg,89.6,7.0,54725904,50591232,4134672,8,2368,3667952,119220,1460856,1077952832,9207,940,0,1,10,76,11215,64081
36,2743,shutterfly.jpg,79.3,7.0,54725904,50591232,4134672,8,2368,3667952,117896,1459532,1077952832,9416,970,0,1,10,76,11215,64313
37,2734,shutterfly.jpg,90.0,7.0,54725904,50591232,4134672,8,2368,3667952,117488,1459132,1077952832,9634,996,0,1,10,76,11215,64504
38,2756,shutterfly.jpg,67.7,7.1,54725904,50591088,4134816,8,2512,3667952,114008,1455788,1077952832,9854,1023,0,1,10,76,11215,65448
39,2748,shutterfly.jpg,86.2,7.2,54725904,50591088,4134816,8,2512,3667952,112712,1454500,1077952832,10069,1042,0,1,10,76,11215,66029
40,2765,shutterfly.jpg,66.6,7.1,54725904,50591088,4134816,8,2512,3667952,111728,1453516,1077952832,10276,1065,0,1,10,76,11215,66019
41,2757,shutterfly.jpg,76.6,7.2,54725904,50591088,4134816,8,2512,3667952,112012,1453800,1077952832,10477,1094,0,1,10,76,11215,66024
42,2739,shutterfly.jpg,72.4,7.7,54725904,50590940,4134964,8,2656,3667952,108604,1450772,1077952832,10671,1126,0,1,10,76,11215,71036
