
--------------------------------------------------------------------------------
    MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------


--------------------------------------------------------------------------------
    MAR SECURITY - TESTING APPLICATION: mugtracker3D_orig
--------------------------------------------------------------------------------

Application output directory created at: output/mugtracker3D_orig
Output will be written to file: sanityCheck3D.2019-11-11.202326.csv

Running test script with params: 
	 Application package name: 		 edu.temple.attack_prototypes.vuforia.v0_3d
	 Application local name: 		 mugtracker3D_orig
	 Run time (min): 			 10
	 Data collection interval (seconds): 	 5
	 Total number of trials: 		 120
	 Reading from image directory: 		 /Users/slehr/Projects/MAR_Security/scripts/imgs
	 Reading from image file list: 		 sanityCheck3D

  bash arg: -p
  bash arg: edu.temple.attack_prototypes.vuforia.v0_3d
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=39ms (0ms mobile, 0ms wifi, 39ms not connected)

--------------------------------------------------------------------------------

App PID: 9567
Trial start time (ms): 1573521806868

TRIAL,ELAPSED_TIME_MS,IMG_FILE,CPU_PERC,MEM_PERC,EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB,TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB,FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,11777,blank.png,120,6.4,54725904,50592844,4133060,8,DNE,3667952,95588,1414720,1077952832,1023,86,1,0,10,79,184466,60714
2,2712,blank.png,100,6.5,54725904,50592844,4133060,8,DNE,3667952,96236,1415420,1077952832,1295,108,1,0,10,80,184466,60193
3,2662,blank.png,113,6.5,54725904,50592844,4133060,8,DNE,3667952,96620,1415812,1077952832,1577,126,1,0,10,80,184466,60441
4,2657,blank.png,120,6.6,54725904,50592844,4133060,8,DNE,3667952,118996,1438260,1077952832,1871,144,1,0,10,80,184466,60624
5,2667,blank.png,120,6.6,54725904,50592844,4133060,8,DNE,3667952,117264,1436528,1077952832,2170,155,1,0,10,80,184466,60597
6,2708,blank.png,100,6.6,54725904,50592844,4133060,8,DNE,3667952,117680,1437160,1077952832,2451,172,1,0,10,80,184466,60774
7,2688,blank.png,116,6.5,54725904,50592840,4133064,8,DNE,3667952,116168,1435788,1077952832,2761,182,1,0,10,80,184466,61254
8,2693,blank.png,100,6.6,54725904,50592840,4133064,8,DNE,3667952,115488,1435108,1077952832,3052,196,1,0,10,80,184466,61155
9,2660,blank.png,110,6.7,54725904,50592840,4133064,8,DNE,3667952,119704,1439444,1077952832,3323,212,1,0,10,76,184466,61920
10,2707,blank.png,93.3,6.7,54725904,50592840,4133064,8,DNE,3667952,116220,1436780,1077952832,3603,224,1,0,10,76,184466,61847
11,2672,blank.png,120,6.7,54725904,50592840,4133064,8,DNE,3667952,116460,1437288,1077952832,3894,235,1,0,10,76,184466,61933
12,2663,blank.png,113,7.0,54725904,50592840,4133064,8,DNE,3667952,115548,1436376,1077952832,4200,242,1,0,10,76,184466,64648
13,2687,blank.png,109,7.0,54725904,50592836,4133068,8,DNE,3667952,116504,1437336,1077952832,4476,258,1,0,10,76,184466,64670
14,2679,blank.png,110,7.0,54725904,50592836,4133068,8,DNE,3667952,116880,1437720,1077952832,4762,267,1,0,10,76,184466,64697
15,2673,blank.png,116,7.0,54725904,50592836,4133068,8,DNE,3667952,116280,1437120,1077952832,5064,278,1,0,10,76,184466,64868
16,2664,blank.png,117,7.0,54725904,50592836,4133068,8,DNE,3667952,115088,1435928,1077952832,5360,292,1,0,10,76,184466,64960
17,2685,blank.png,103,7.0,54725904,50592836,4133068,8,DNE,3667952,115436,1436404,1077952832,5660,304,1,0,10,76,184466,64931
18,2670,blank.png,106,7.0,54725904,50592836,4133068,8,DNE,3667952,113868,1434836,1077952832,5947,319,1,0,10,76,184466,64932
19,2683,blank.png,100,7.0,54725904,50592836,4133068,8,DNE,3667952,113200,1434168,1077952832,6221,342,1,0,10,76,184466,65124
20,2699,blank.png,106,7.1,54725904,50592836,4133068,8,DNE,3667952,112452,1433420,1077952832,6514,359,1,0,10,76,184466,65197
21,2670,blank.png,113,7.1,54725904,50592832,4133072,8,DNE,3667952,111632,1432664,1077952832,6797,368,1,0,10,76,184466,65187
22,2676,blank.png,110,7.1,54725904,50592832,4133072,8,DNE,3667952,110240,1431272,1077952832,7094,380,1,0,10,76,184466,65558
23,2702,blank.png,117,7.1,54725904,50592832,4133072,8,DNE,3667952,110628,1431668,1077952832,7390,397,1,0,10,76,184466,65492
24,2696,blank.png,100,7.1,54725904,50592832,4133072,8,DNE,3667952,109256,1430764,1077952832,7653,415,1,0,10,76,184466,65575
25,2671,blank.png,93.5,7.1,54725904,50592832,4133072,8,DNE,3667952,109028,1430552,1077952832,7932,431,1,0,10,76,184466,65493
26,2678,blank.png,113,7.1,54725904,50592832,4133072,8,DNE,3667952,109084,1430608,1077952832,8215,447,1,0,10,76,184466,65625
