Timestamp,Result Title,Result Confidence
20201230_084908,noise face wiki.mp4 30-00 03:00
20201230_084909,T
20201230_084914,T
20201230_084916,T
20201230_084927,T
20201230_084928,T
20201230_084933,T
20201230_084934,T
20201230_084934,T
20201230_084935,T
20201230_084935,T
20201230_084936,T
20201230_084936,T
20201230_084937,T
20201230_084937,T
20201230_084940,T
20201230_085004,T
20201230_085004,T
20201230_085005,T
20201230_085005,T
20201230_085006,T
20201230_085007,T
20201230_085009,T
20201230_085009,T
20201230_085010,T
20201230_085010,T
20201230_085011,T
20201230_085012,T
20201230_085012,T
20201230_085013,T
20201230_085014,T
20201230_085015,T
20201230_085016,T
20201230_085017,T
20201230_085017,T
20201230_085028,st
20201230_085038,T
20201230_085039,T
20201230_085041,T
20201230_085042,T
20201230_085046,K
20201230_085047,T
20201230_085056,*
20201230_085058,T
20201230_085059,T
20201230_085100,T
20201230_085101,T
20201230_085101,T
20201230_085102,T
20201230_085106,T
20201230_085108,rricane Cindy (1959) Wikipedia, the free encyclopedia or other stoms of the same name, see Hurricane Cindy (disambiguation). cane Cindy impacted the Carolinas, the Mid-Atlantic states, New England, and the Canadiar ure area associated with a cold front located east of northern Florida. The low developed into d westward because of a high-pressure area positioned to its north, and further intensified int lina, and re-curved to the northeast along the Fall Line as a tropical depression. It re-entered Cod, while several other weather systems helped the storm maintain its intensity. Cindy tran all structural damage from Cindy was minimal. One driver was killed in Georgetown, South C and. Many areas experienced heavy rains, and several thousand people evacuated. Other tha t, of which two caused minor damage in North Carolina. The heaviest rainfall occurred in nort al along the coast. As drought-like conditions were present in the Carolinas at the time, the ra ne produced heavy rains and strong winds that sunk one ship. Damage caused by Cindy was Contents [hide] eteorological history reparations and impact 2.1 South Carolina 2.2 Elsewhere
20201230_085109,arricane Cindy (1959) Wikipedia, the free encyclopedia or other storms of the same name, see Hurricane Cindy (disambiguation). cane Cindy impacted the Carolinas, the Mid-Atlantic states, New England, and the Canadiar ure area associated with a cold front located east of northern Florida. The low developed into d westward because of a high-pressure area positioned to its north, and further intensified int lina, and re-curved to the northeast along the Fall Line as a tropical depression. It re-entered Cod, while several other weather systems helped the storm maintain its intensity. Cindy tran all structural damage from Cindy was minimal. One driver was killed in Georgetown, South Ca and. Many areas experienced heavy rains, and several thousand people evacuated. Other tha 1, of which two caused minor damage in North Carolina. The heaviest rainfall occurred in nont al along the coast. As drought-like conditions were present in the Carolinas at the time, the ra ne produced heavy rains and strong winds that sunk one ship. Damage caused by Cindy was Contents hide Meteorological history reparations and impact 2.1 South Carolina 2.2 Elsewhere
20201230_085110,rricane Cindy (1959) Wikipedia, the free encyclopedia or other stoms of the same name, see Hurricane Cindy (disambiguation). cane Cindy impacted the Carolinas, the Mid-Atlantic states, New England, and the Canadiar ure area associated with a cold front located east of northern Florida. The low developed into d westward because of a high-pressure area positioned to its north, and further intensified int lina, and re-curved to the northeast along the Fall Line as a tropical depression. It re-entered Cod, while several other weather systems helped the storm maintain its intensity. Cindy tran all structural damage from Cindy was minimal. One driver was killed in Georgetown, South Ca and. Many areas experienced heavy rains, and several thousand people evacuated. Other tha 1, of which two caused minor damage in North Carolina. The heaviest rainfall occurred in nort al along the coast. As drought-like conditions were present in the Carolinas at the time, the ra ne produced heavy rains and strong winds that sunk one ship. Damage caused by Cindy was Contents hide] teteorological history reparations and impact 2.1 South Carolina 2.2 Elsewhere
20201230_085110,rricane Cindy (1959) Wikipedia, the free encyclopedia or other storms of the same name, see Hurricane Cindy (disambiguation). cane Cindy impacted the Carolinas, the Mid-Atlantic states, New England, and the Canadiar ure area associated with a cold front located east of northern Florida. The low developed into d westward because of a high-pressure area positioned to its north, and further intensified int lina, and re-curved to the northeast along the Fall Line as a tropical depression. It re-entered Cod, while several other weather systems helped the storm maintain its intensity. Cindy tran all structural damage from Cindy was minimal. One driver was killed in Georgetown, South Ca and. Many areas experienced heavy rains, and several thousand people evacuated. Other tha 1, of which two caused minor damage in North Carolina. The heaviest rainfall occurred in nort al along the coast. As drought-like conditions were present in the Carolinas at the time, the ra ne produced heavy rains and strong winds that sunk one ship. Damage caused by Cindy was Contents [hide] eteorological history reparations and impact 2.1 South Carolina 2.2 Elsewhere
20201230_085111,rricane Cindy (1959) Wikipedia, the free encyclopedia or other stoms of the same name, see Huricane Cindy (disambiguation). cane Cindyimpacted the Carolinas, the Mid-Atlantic states, New England, and the Canadiar ure area associated with a cold front located east of northern Florida. The low developed into d westward because of a high-pressure area positioned to its north, and further intensified int lina, and re-curved to the northeast along the Fall Line as a tropical depression. It re-entered Cod, while several other weather systems helped the storm maintain its intensity. Cindy tran all structural damage from Cindy was minimal. One driver was killed in Georgetown, South Ca and. Many areas experienced heavy rains, and several thousand people evacuated. Other tha 1, of which two caused minor damage in North Carolina. The heaviest rainfall occurred in nont al along the coast. As drought-like conditions were present in the Carolinas at the time, the ra ne produced heavy rains and strong winds that sunk one ship. Damage caused by Cindy was Contents [hide Meteorological history reparations and impact 2.1 South Carolina 2.2 Elsewhere
