Timestamp,Result Title,Result Confidence
20201230_110903,bird face_wiki.mp4 00:00 03:00 -
20201230_110907,*
20201230_110908,T
20201230_110909,T
20201230_110910,1. T
20201230_110912,T
20201230_110913,T
20201230_110913,T
20201230_110914,T
20201230_110915,T
20201230_110915,T
20201230_110917,T
20201230_110918,T
20201230_110919,T
20201230_110921,*
20201230_110923,-
20201230_110923,**
20201230_110924,*
20201230_110924,T
20201230_110926,T
20201230_110926,T
20201230_110927,-*
20201230_110932,*
20201230_110934,-
20201230_110936,*
20201230_110936,*
20201230_110937,T
20201230_110940,**
20201230_110940,T
20201230_110941,T
20201230_110943,T
20201230_110944,T
20201230_110945,T
20201230_110946,T **
20201230_110946,T *
20201230_110947,T
20201230_110947,T
20201230_110948,T
20201230_110954,O T *
20201230_110954,O
20201230_110955,O
20201230_110956,T
20201230_110956,O
20201230_110957,O -
20201230_110957,O
20201230_110958,T
20201230_110959,3 T
20201230_111001,T
20201230_111001,--
20201230_111002,T
20201230_111002,T
20201230_111008,T
20201230_111010,.
20201230_111012,. T
20201230_111013,T
20201230_111015,-
20201230_111015,-
20201230_111016,T
20201230_111016,-
20201230_111018,*
20201230_111019,*
20201230_111023,*
20201230_111024,1 T
20201230_111024,6
20201230_111025,6 T
20201230_111028,-
20201230_111029,T
20201230_111030,T
20201230_111030,2 T
20201230_111031,*
20201230_111039,*
20201230_111041,T
20201230_111046,T
20201230_111047,*
20201230_111049,- -
20201230_111051,*
20201230_111056,T
20201230_111103,ricane Cindy (1959) ipedia, the free encyclopedia ther storms of the same name, see Hurricane Cindy (disambiguation). e Cindy impacted the Carolinas, the Mid-Atlantic states, New England, and the Canadian M area associated with a cold front located east of northern Florida. The low developed into a estward because of a high-pressure area positioned to its north, and further intensified into a and re-curved to the northeast along the Fall Line as a tropical depression. It re-entered the d, while several other weather systems helped the storm maintain its intensity. Cindy transiti tructural damage from Cindy was minimal. One driver was killed in Georgetown, South Cara Many areas experienced heavy rains, and several thousand people evacuated. Other than which two caused minor damage in Noth Carolina. The heaviest raintall occurred in north o long the coast. As drought-like conditions were present in the Carolinas at the time, the rainf produced heavy rains and strong winds that sunk one ship. Damage caused by Cindy was es ontents [hide] orological history arations and impact South Carolina Elsewhere
20201230_111104,ricane Cindy (1959) ipedia, the free encyclopedia ther storms of the same name, see Hurricane Cindy (disambiguation). e Cindy impacted the Carolinas, the Mid-Atlantic states, New England, and the Canadian M area associated with a cold front located east of northern Florida. The low developed into a estward because of a high-pressure area positioned to its north, and further intensified into a and re-curved to the northeast along the Fall Line as a tropical depression. It re-entered the d, while several other weather systems helped the storm maintain its intensity. Cindy transiti tructural damage from Cindy was minimal. One driver was killed in Georgetown, South Caro Many areas experienced heavy rains, and several thousand people evacuated. Other than which two caused minor damage in Noth Carolina. The heaviest raintall occurred in north o long the coast. As drought-like conditions were present in the Carolinas at the time, the rainf produced heavy rains and strong winds that sunk one ship. Damage caused by Cindy was es ontents [hide] orological history arations and impact South Carolina Elsewhere
20201230_111104,ricane Cindy (1959) ipedia, the free encyclopedia ther storms of the same name, see Hurricane Cindy (disambiguation). e Cindy impacted the Carolinas, the Mid-Atlantic states, New England, and the Canadian M area associated with a cold front located east of northern Florida. The low developed into a estward because of a high-pressure area positioned to its north, and further intensified into a and re-curved to the northeast along the Fall Line as a tropical depression. It re-entered the d, while several other weather systems helped the storm maintain its intensity. Cindy transiti tructural damage from Cindy was minimal. One driver was killed in Georgetown, South Cara Many areas experienced heavy rains, and several thousand people evacuated. Other than which two caused minor damage in Noth Carolina. The heaviest raintall occurred in north o long the coast. As drought-like conditions were present in the Carolinas at the time, the raint produced heavy rains and strong winds that sunk one ship. Damage caused by Cindy was es ontents [hide] orological history arations and impact South Carolina Elsewhere
