RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS,AVG_FPS
1,20201230_092214,59,1013,17.16949153,5.82E-05,5.82E+01
2,20201230_092215,59,1000,16.94915254,5.90E-05,5.90E+01
3,20201230_092216,59,1000,16.94915254,5.90E-05,5.90E+01
4,20201230_092217,60,1001,16.68333333,5.99E-05,5.99E+01
5,20201230_092218,59,1001,16.96610169,5.89E-05,5.89E+01
6,20201230_092219,59,1001,16.96610169,5.89E-05,5.89E+01
7,20201230_092220,59,1001,16.96610169,5.89E-05,5.89E+01
8,20201230_092221,60,1012,16.86666667,5.93E-05,5.93E+01
9,20201230_092222,61,1005,16.47540984,6.07E-05,6.07E+01
10,20201230_092223,60,1001,16.68333333,5.99E-05,5.99E+01
11,20201230_092224,59,1000,16.94915254,5.90E-05,5.90E+01
12,20201230_092225,60,1001,16.68333333,5.99E-05,5.99E+01
13,20201230_092226,60,1001,16.68333333,5.99E-05,5.99E+01
14,20201230_092227,60,1000,16.66666667,6.00E-05,6.00E+01
15,20201230_092228,59,1000,16.94915254,5.90E-05,5.90E+01
16,20201230_092229,58,1002,17.27586207,5.79E-05,5.79E+01
17,20201230_092230,59,1000,16.94915254,5.90E-05,5.90E+01
18,20201230_092231,60,1000,16.66666667,6.00E-05,6.00E+01
19,20201230_092232,60,1001,16.68333333,5.99E-05,5.99E+01
20,20201230_092233,59,1000,16.94915254,5.90E-05,5.90E+01
21,20201230_092234,59,1000,16.94915254,5.90E-05,5.90E+01
22,20201230_092235,60,1001,16.68333333,5.99E-05,5.99E+01
23,20201230_092236,60,1000,16.66666667,6.00E-05,6.00E+01
24,20201230_092237,60,1001,16.68333333,5.99E-05,5.99E+01
25,20201230_092238,57,1001,17.56140351,5.69E-05,5.69E+01
26,20201230_092239,60,1001,16.68333333,5.99E-05,5.99E+01
27,20201230_092240,59,1016,17.22033898,5.81E-05,5.81E+01
28,20201230_092241,60,1001,16.68333333,5.99E-05,5.99E+01
29,20201230_092242,60,1000,16.66666667,6.00E-05,6.00E+01
30,20201230_092243,60,1001,16.68333333,5.99E-05,5.99E+01
31,20201230_092244,59,1000,16.94915254,5.90E-05,5.90E+01
32,20201230_092245,60,1001,16.68333333,5.99E-05,5.99E+01
33,20201230_092246,58,1000,17.24137931,5.80E-05,5.80E+01
34,20201230_092247,58,1001,17.25862069,5.79E-05,5.79E+01
35,20201230_092248,59,1001,16.96610169,5.89E-05,5.89E+01
36,20201230_092249,58,1001,17.25862069,5.79E-05,5.79E+01
37,20201230_092250,58,1000,17.24137931,5.80E-05,5.80E+01
38,20201230_092251,59,1001,16.96610169,5.89E-05,5.89E+01
39,20201230_092252,60,1001,16.68333333,5.99E-05,5.99E+01
40,20201230_092253,60,1001,16.68333333,5.99E-05,5.99E+01
41,20201230_092254,60,1000,16.66666667,6.00E-05,6.00E+01
42,20201230_092255,60,1001,16.68333333,5.99E-05,5.99E+01
43,20201230_092256,59,1000,16.94915254,5.90E-05,5.90E+01
44,20201230_092257,60,1000,16.66666667,6.00E-05,6.00E+01
45,20201230_092258,60,1001,16.68333333,5.99E-05,5.99E+01
46,20201230_092259,59,1000,16.94915254,5.90E-05,5.90E+01
47,20201230_092300,60,1001,16.68333333,5.99E-05,5.99E+01
48,20201230_092301,60,1000,16.66666667,6.00E-05,6.00E+01
49,20201230_092302,59,1000,16.94915254,5.90E-05,5.90E+01
50,20201230_092303,60,1001,16.68333333,5.99E-05,5.99E+01
51,20201230_092304,60,1000,16.66666667,6.00E-05,6.00E+01
52,20201230_092305,60,1001,16.68333333,5.99E-05,5.99E+01
53,20201230_092306,59,1000,16.94915254,5.90E-05,5.90E+01
54,20201230_092307,60,1000,16.66666667,6.00E-05,6.00E+01
55,20201230_092308,60,1000,16.66666667,6.00E-05,6.00E+01
56,20201230_092309,59,1001,16.96610169,5.89E-05,5.89E+01
57,20201230_092310,59,1000,16.94915254,5.90E-05,5.90E+01
58,20201230_092311,60,1001,16.68333333,5.99E-05,5.99E+01
59,20201230_092312,60,1000,16.66666667,6.00E-05,6.00E+01
60,20201230_092313,60,1001,16.68333333,5.99E-05,5.99E+01
61,20201230_092314,60,1000,16.66666667,6.00E-05,6.00E+01
62,20201230_092315,60,1001,16.68333333,5.99E-05,5.99E+01
63,20201230_092316,59,1000,16.94915254,5.90E-05,5.90E+01
64,20201230_092317,60,1001,16.68333333,5.99E-05,5.99E+01
65,20201230_092318,59,1004,17.01694915,5.88E-05,5.88E+01
66,20201230_092319,60,1014,16.9,5.92E-05,5.92E+01
67,20201230_092320,59,1006,17.05084746,5.86E-05,5.86E+01
68,20201230_092321,61,1012,16.59016393,6.03E-05,6.03E+01
69,20201230_092322,59,1001,16.96610169,5.89E-05,5.89E+01
70,20201230_092323,60,1000,16.66666667,6.00E-05,6.00E+01
71,20201230_092324,58,1000,17.24137931,5.80E-05,5.80E+01
72,20201230_092325,60,1001,16.68333333,5.99E-05,5.99E+01
73,20201230_092326,58,1001,17.25862069,5.79E-05,5.79E+01
74,20201230_092327,60,1000,16.66666667,6.00E-05,6.00E+01
75,20201230_092328,58,1001,17.25862069,5.79E-05,5.79E+01
76,20201230_092329,60,1000,16.66666667,6.00E-05,6.00E+01
77,20201230_092330,59,1001,16.96610169,5.89E-05,5.89E+01
78,20201230_092331,60,1000,16.66666667,6.00E-05,6.00E+01
79,20201230_092332,60,1001,16.68333333,5.99E-05,5.99E+01
80,20201230_092333,59,1001,16.96610169,5.89E-05,5.89E+01
81,20201230_092334,60,1000,16.66666667,6.00E-05,6.00E+01
82,20201230_092335,60,1001,16.68333333,5.99E-05,5.99E+01
83,20201230_092336,57,1001,17.56140351,5.69E-05,5.69E+01
84,20201230_092337,59,1000,16.94915254,5.90E-05,5.90E+01
85,20201230_092338,59,1001,16.96610169,5.89E-05,5.89E+01
86,20201230_092339,59,1001,16.96610169,5.89E-05,5.89E+01
87,20201230_092340,60,1001,16.68333333,5.99E-05,5.99E+01
88,20201230_092341,58,1000,17.24137931,5.80E-05,5.80E+01
89,20201230_092342,59,1001,16.96610169,5.89E-05,5.89E+01
90,20201230_092343,58,1001,17.25862069,5.79E-05,5.79E+01
